nbits,nprimes,msgsize,spawnTime,encrTime,decrTime,memory
32,10,16,0.005711794,0.000411749,0.000426292,0.001235962
32,10,24,0.005711794,0.00047636,0.000424623,0.001235962
32,10,32,0.005711794,0.000411749,0.000373125,0.001235962
32,11,8,0.004791498,0.000427008,0.00041914,0.000930786
32,11,16,0.004791498,0.000456572,0.000567198,0.001235962
32,11,24,0.004791498,0.000688791,0.000838041,0.001235962
32,11,32,0.004791498,0.000781536,0.000695229,0.001235962
32,12,8,0.006243706,0.00051713,0.000519514,0.000930786
32,12,16,0.006243706,0.000493526,0.000529528,0.001235962
32,12,24,0.006243706,0.000501633,0.00052309,0.001235962
32,12,32,0.006243706,0.000502825,0.000550747,0.001235962
32,13,8,0.008327484,0.000705481,0.000656605,0.000930786
32,13,16,0.008327484,0.000540495,0.000635147,0.001235962
32,13,24,0.008327484,0.000638485,0.00057292,0.001235962
32,13,32,0.008327484,0.000584841,0.000629425,0.001235962
32,14,8,0.006908417,0.000894547,0.000842094,0.000930786
32,14,16,0.006908417,0.000645638,0.000684738,0.001235962
32,14,24,0.006908417,0.000688076,0.000663757,0.001235962
32,14,32,0.006908417,0.000664711,0.000739574,0.001235962
32,15,8,0.006471395,0.000969887,0.001322746,0.000930786
32,15,16,0.006471395,0.001023054,0.000861406,0.001235962
32,15,24,0.006471395,0.000983,0.000752687,0.001235962
32,15,32,0.006471395,0.000918388,0.000840902,0.001235962
32,16,8,0.005989552,0.000839233,0.000828028,0.000930786
32,16,16,0.005989552,0.001150846,0.001313448,0.001235962
32,16,24,0.005989552,0.00099349,0.001021862,0.001235962
32,16,32,0.005989552,0.00086689,0.000936747,0.001235962
32,17,8,0.006827116,0.000887871,0.000926733,0.000930786
32,17,16,0.006827116,0.001140356,0.001280069,0.001235962
32,17,24,0.006827116,0.001138449,0.001241207,0.001235962
32,17,32,0.006827116,0.000947237,0.000994921,0.001235962
32,18,8,0.009002686,0.001240492,0.001317501,0.000930786
32,18,16,0.009002686,0.001332283,0.001484394,0.001235962
32,18,24,0.009002686,0.001204491,0.001166582,0.001235962
32,18,32,0.009002686,0.001065254,0.001077652,0.001235962
32,19,8,0.009246349,0.001343966,0.001225948,0.000930786
32,19,16,0.009246349,0.001150131,0.001234293,0.001235962
32,19,24,0.009246349,0.001134634,0.001281738,0.001235962
32,19,32,0.009246349,0.001149893,0.001186132,0.001235962
32,20,8,0.009981155,0.001339197,0.001464128,0.000930786
32,20,16,0.009981155,0.00130868,0.001402617,0.001235962
32,20,24,0.009981155,0.001541853,0.001417398,0.001235962
32,20,32,0.009981155,0.001497507,0.001636982,0.001235962
32,21,8,0.009571791,0.001435041,0.001662016,0.000930786
32,21,16,0.009571791,0.001549959,0.002162457,0.001205444
32,21,24,0.009571791,0.002017736,0.00190711,0.001235962
32,21,32,0.009571791,0.001602173,0.001730442,0.001235962
32,22,8,0.011524916,0.001950979,0.001950502,0.000930786
32,22,16,0.011524916,0.001637936,0.001680613,0.001235962
32,22,24,0.011524916,0.001766443,0.00169754,0.001235962
