_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
773,CT#773,ACMU,,Pyrobombus,Bombus flavescens,2003.0,Jan,13/1/2003,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Siriwan,Worker
774,CT#774,ACMU,,Pyrobombus,Bombus flavescens,2003.0,Jan,19/1/2003,Thailand,Chiang Mai University,18.8,98.95,,,Chaicharn,Worker
775,CT#775,ACMU,,Pyrobombus,Bombus flavescens,2003.0,Feb,12/2/2003,Thailand,Chiang Mai University,18.8,98.95,,,kornkrit,Worker
776,CT#776,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Oct,17/10/2002,Thailand,,19.89,99.16,,,Wannaporn,Worker
777,CT#777,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Dec,15/12/2002,Thailand,,18.63,98.9,,,Sureerat,Worker
778,CT#778,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Oct,9/10/2002,Thailand,,18.74,98.96,,,Nitisak,Worker
779,CT#779,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Nov,6/11/2002,Thailand,,18.74,98.96,,,Poramin,Worker
780,CT#780,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Dec,10/12/2002,Thailand,Doi Ang Khang,19.90635983,99.04013883,,,Wichcha,Worker
781,CT#781,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Oct,19/10/2002,Thailand,Chiang Mai University,18.8,98.95,,,Tippayawan,Male
782,CT#782,ACMU,,Pyrobombus,Bombus flavescens,2003.0,Jan,18/1/2003,Thailand,,18.74,98.96,,,Panee,Male
783,CT#783,ACMU,,Pyrobombus,Bombus flavescens,2003.0,Nov,28/11/2003,Thailand,,18.8,98.95,,,Chakrapan,Male
784,CT#784,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Dec,19/12/2002,Thailand,Mea Jo,18.9,99.01,,,Natthida,Male
785,CT#785,ACMU,,Pyrobombus,Bombus flavescens,2003.0,Jan,25/1/2003,Thailand,Wat Pha lat,18.8,98.93,,,Apilak,Male
786,CT#786,ACMU,,Pyrobombus,Bombus flavescens,2002.0,Dec,15/12/2002,Thailand,,18.57,99.01,,,Jirapong,Male
787,CT#787,ACMU,,Megabombus,Bombus montivagus,2018.0,Oct,10/10/2018,Thailand,,19.36,98.44,,,Suttiprapan P. & Phunoot P.,Worker
